,Toll Date,Toll Hour,Toll 10 Minute Block,Minute of Hour,Hour of Day,Day of Week Int,Day of Week,Toll Week,Time Period,Vehicle Class,Detection Group,Detection Region,CRZ Entries,Excluded Roadway Entries
47,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,3 - Multi-Unit Trucks,Hugh L. Carey Tunnel,Brooklyn,0,0
48,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,3 - Multi-Unit Trucks,Brooklyn Bridge,Brooklyn,0,0
49,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,2 - Single-Unit Trucks,West Side Highway at 60th St,West Side Highway,1,0
50,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,2 - Single-Unit Trucks,West 60th St,West 60th St,3,0
51,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,2 - Single-Unit Trucks,Queensboro Bridge,Queens,1,0
52,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,2 - Single-Unit Trucks,Queens Midtown Tunnel,Queens,2,0
53,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,2 - Single-Unit Trucks,Lincoln Tunnel,New Jersey,9,0
54,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,2 - Single-Unit Trucks,Holland Tunnel,New Jersey,4,0
55,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,2 - Single-Unit Trucks,FDR Drive at 60th St,FDR Drive,2,0
56,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,2 - Single-Unit Trucks,East 60th St,East 60th St,8,0
57,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,2 - Single-Unit Trucks,Williamsburg Bridge,Brooklyn,0,0
58,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,2 - Single-Unit Trucks,Manhattan Bridge,Brooklyn,2,0
59,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,2 - Single-Unit Trucks,Hugh L. Carey Tunnel,Brooklyn,2,0
60,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,2 - Single-Unit Trucks,Brooklyn Bridge,Brooklyn,0,1
61,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,"1 - Cars, Pickups and Vans",West Side Highway at 60th St,West Side Highway,135,11
62,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,"1 - Cars, Pickups and Vans",West 60th St,West 60th St,88,0
63,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,"1 - Cars, Pickups and Vans",Queensboro Bridge,Queens,65,0
64,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,"1 - Cars, Pickups and Vans",Queens Midtown Tunnel,Queens,130,0
65,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,"1 - Cars, Pickups and Vans",Lincoln Tunnel,New Jersey,260,0
66,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,"1 - Cars, Pickups and Vans",Holland Tunnel,New Jersey,222,0
67,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,"1 - Cars, Pickups and Vans",FDR Drive at 60th St,FDR Drive,213,201
68,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,"1 - Cars, Pickups and Vans",East 60th St,East 60th St,200,0
69,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,"1 - Cars, Pickups and Vans",Williamsburg Bridge,Brooklyn,133,0
70,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,"1 - Cars, Pickups and Vans",Manhattan Bridge,Brooklyn,89,0
71,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,"1 - Cars, Pickups and Vans",Hugh L. Carey Tunnel,Brooklyn,75,47
72,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,4 - Buses,Brooklyn Bridge,Brooklyn,0,0
73,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,TLC Taxi/FHV,West Side Highway at 60th St,West Side Highway,101,3
74,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,TLC Taxi/FHV,West 60th St,West 60th St,200,0
